,name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,drafted,position_Center,position_Forward,position_Guard
19299,George Medrano,71,175,Guard,18,0,1.1,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.1,0.4,0.28600000000000003,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.2,0,0,0,1
19300,Emir Medunjanin,78,195,Guard,29,0,15.9,1.3,4.7,0.279,0.7,2.0,0.35600000000000004,0.6,2.7,0.279,0.3,0.7,0.526,0.9,0.6,0.0,3.6,0.5,1.6,2.0,1.1,0,0,0,1
19302,John Meeker,73,175,Guard,58,1,2.3,0.2,0.6,0.35100000000000003,0.1,0.3,0.421,0.1,0.3,0.35100000000000003,0.3,0.5,0.593,0.3,0.1,0.0,0.8,0.2,0.3,0.4,0.3,0,0,0,1
19303,Travis Meeker,76,185,Guard,20,0,4.5,0.1,0.6,0.083,0.0,0.2,0.0,0.1,0.4,0.083,0.1,0.2,0.5,0.2,0.0,0.1,0.3,0.1,0.3,0.4,0.0,0,0,0,1
19304,Evan Meekins,74,200,Guard,104,21,19.5,1.7,4.8,0.344,0.4,1.1,0.36,1.3,3.8,0.344,0.8,1.1,0.6970000000000001,0.9,0.4,0.1,5.4,0.5,2.0,2.5,1.0,0,0,0,1
19305,Chris Meeks,75,185,Guard,57,4,12.1,1.7,4.4,0.383,1.3,2.9,0.445,0.4,1.6,0.383,0.6,1.3,0.514,0.5,0.5,0.2,4.5,0.8,1.1,1.9,1.1,0,0,0,1
19306,Jodie Meeks,77,208,Guard,81,42,27.7,4.8,10.9,0.436,2.6,5.2,0.491,2.2,5.7,0.436,3.7,4.1,0.89,1.6,1.1,0.1,15.4,0.7,2.4,3.0,1.8,1,0,0,1
19307,John Meeks,78,225,Forward,54,0,8.7,1.5,3.0,0.503,1.2,2.1,0.557,0.3,0.9,0.503,0.4,0.5,0.741,0.5,0.2,0.1,3.7,0.5,0.8,1.4,0.6,0,0,1,0
19308,Kennedy Meeks,81,290,Forward,144,117,21.3,4.3,7.7,0.557,4.3,7.7,0.5579999999999999,0.0,0.0,0.557,1.9,3.0,0.634,1.0,0.7,1.1,10.4,2.8,4.5,7.3,1.3,0,0,1,0
19309,Michael Mehanna,74,185,Guard,9,0,2.2,0.2,0.9,0.25,0.2,0.8,0.28600000000000003,0.0,0.1,0.25,0.7,1.1,0.6,0.0,0.1,0.0,1.1,0.0,0.1,0.1,0.3,0,0,0,1
19310,Tosin Mehinti,81,213,Forward,130,74,18.6,2.1,4.1,0.51,2.1,4.1,0.51,0.0,0.0,0.51,1.1,1.9,0.61,0.7,0.4,1.3,5.3,1.6,2.6,4.3,1.5,0,0,1,0
19311,Joshua Meier,80,215,Forward,31,20,20.7,1.9,5.1,0.371,1.9,5.1,0.3670000000000001,0.0,0.0,0.371,1.2,1.9,0.621,0.6,0.6,0.5,5.0,2.1,1.9,4.0,1.9,0,0,1,0
19312,Tony Meier,80,210,Forward,119,97,22.8,2.9,6.5,0.439,1.3,2.4,0.535,1.6,4.1,0.439,1.5,1.9,0.765,1.0,0.3,0.4,8.8,1.2,2.9,4.1,1.4,0,0,1,0
19313,Trevor Meier,78,206,Guard,19,0,2.4,0.2,0.5,0.4,0.1,0.2,0.333,0.2,0.4,0.4,0.4,0.4,0.875,0.0,0.0,0.0,0.9,0.1,0.6,0.6,0.1,0,0,0,1
19314,Dwight Meikle,79,210,Guard,91,47,20.2,3.2,6.4,0.4920000000000001,2.9,5.5,0.525,0.3,0.9,0.4920000000000001,1.5,2.2,0.701,0.6,0.6,0.8,8.1,1.6,3.5,5.1,2.0,0,0,0,1
19315,Luke Meikle,81,203,Forward,106,65,20.9,2.6,7.0,0.376,1.8,4.3,0.412,0.9,2.8,0.376,1.1,1.5,0.759,0.7,0.4,0.4,7.3,0.7,2.8,3.5,0.9,0,0,1,0
19316,Dale Meinbresse,76,200,Guard,106,27,14.6,1.0,2.8,0.364,0.7,1.6,0.402,0.4,1.2,0.364,0.4,0.6,0.7140000000000001,1.0,0.4,0.2,2.8,0.6,1.8,2.4,1.2,0,0,0,1
19317,Lukas Meisner,80,210,Forward,75,38,20.3,2.6,5.4,0.477,1.4,2.5,0.5720000000000001,1.1,2.9,0.477,0.7,1.2,0.565,1.1,0.3,0.5,7.0,1.2,4.1,5.3,1.3,0,0,1,0
19318,Eric Meister,80,225,Center,112,57,21.2,2.2,4.2,0.515,2.2,4.2,0.515,0.0,0.0,0.515,0.7,1.3,0.53,0.6,0.5,0.7,5.0,1.7,3.0,4.7,1.0,0,1,0,0
19320,Dominick Mejia,76,200,Guard,105,63,23.3,3.5,9.1,0.38,1.4,3.4,0.396,2.1,5.7,0.38,1.5,1.8,0.818,1.4,1.0,0.1,10.5,0.5,2.2,2.7,1.7,0,0,0,1
