,height,weight,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,drafted,position_Center,position_Forward,position_Guard
9880,73,210,123,123,31.7,4.1,10.0,0.411,3.1,6.7,0.464,1.0,3.3,0.411,2.7,4.6,0.591,3.9,2.1,0.2,11.9,1.9,3.6,5.5,2.6,1,0,0,1
9928,74,202,133,132,35.5,4.9,11.3,0.438,2.4,5.2,0.452,2.6,6.1,0.438,2.5,3.1,0.821,2.2,1.3,0.5,15.0,1.0,3.5,4.5,1.2,1,0,0,1
9983,79,195,98,80,28.1,4.7,10.5,0.448,2.9,5.5,0.519,1.8,5.0,0.448,3.2,3.7,0.8490000000000001,3.5,1.5,1.4,14.4,1.2,2.7,3.9,2.4,1,0,1,0
10014,77,225,89,57,27.4,4.1,10.3,0.396,2.1,4.4,0.477,2.0,6.0,0.396,1.8,2.3,0.777,1.5,0.7,0.0,12.0,0.9,1.7,2.6,2.0,1,0,0,1
10021,78,211,129,117,30.1,4.4,8.7,0.508,3.6,6.5,0.556,0.8,2.2,0.508,2.4,3.6,0.6709999999999999,1.7,1.7,0.7,12.0,1.6,2.8,4.3,2.2,1,0,0,1
10051,76,190,128,99,30.9,3.9,9.7,0.407,3.2,7.1,0.447,0.8,2.6,0.407,2.0,2.7,0.7290000000000001,4.8,1.2,0.2,10.7,0.3,2.5,2.8,2.8,1,0,0,1
10157,81,220,64,59,29.8,5.0,10.8,0.461,4.1,8.5,0.483,0.9,2.3,0.461,2.8,3.8,0.721,1.8,1.3,1.7,13.6,1.9,4.0,5.9,2.2,1,0,1,0
10169,79,200,120,61,25.5,3.4,7.5,0.454,2.1,4.1,0.511,1.3,3.4,0.454,1.7,2.6,0.639,2.6,1.3,0.3,9.8,0.8,2.3,3.1,1.6,1,0,1,0
10178,78,219,128,104,28.6,4.7,10.4,0.447,3.8,7.6,0.491,0.9,2.8,0.447,2.5,4.0,0.632,1.3,1.2,0.4,12.7,2.4,3.3,5.7,2.1,1,0,1,0
10227,79,210,63,63,33.9,5.1,11.4,0.447,3.1,6.5,0.485,1.9,4.9,0.447,3.4,4.2,0.8029999999999999,2.4,2.0,0.9,15.5,1.9,4.8,6.7,2.7,1,0,1,0
