,height,weight,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,drafted,position_Center,position_Forward,position_Guard
13157,84,263,9,2,9.9,0.2,0.9,0.25,0.2,0.9,0.25,0.0,0.0,0.25,0.1,0.8,0.14300000000000002,0.1,0.3,0.2,0.6,0.4,0.9,1.3,0.4,0,1,0,0
14708,79,200,17,0,1.9,0.2,0.5,0.333,0.1,0.2,0.5,0.1,0.3,0.333,0.6,1.1,0.611,0.0,0.1,0.1,1.1,0.0,0.3,0.4,0.1,0,0,1,0
14379,74,190,140,83,24.9,3.3,7.3,0.455,2.5,4.9,0.499,0.9,2.4,0.455,1.5,2.2,0.6859999999999999,4.4,1.3,0.1,9.0,0.4,1.6,2.0,2.2,0,0,0,1
17190,79,245,64,25,18.4,2.5,4.5,0.545,2.5,4.5,0.5489999999999999,0.0,0.0,0.545,1.7,2.4,0.7120000000000001,0.6,0.4,0.1,6.6,2.0,4.0,6.0,1.6,0,0,1,0
28957,79,222,140,115,28.3,4.3,8.8,0.486,3.7,6.9,0.532,0.6,1.9,0.486,2.1,3.4,0.598,1.8,1.1,0.8,11.2,2.1,4.4,6.5,1.5,0,0,1,0
22265,70,170,111,89,25.5,1.5,4.2,0.361,0.8,2.2,0.362,0.7,2.0,0.361,1.2,1.8,0.675,3.0,1.0,0.1,5.0,0.3,1.8,2.1,2.1,0,0,0,1
8635,78,185,63,31,21.1,2.5,6.0,0.42,1.8,3.5,0.525,0.7,2.5,0.42,1.1,2.0,0.551,0.7,0.4,0.5,6.9,1.0,3.2,4.1,1.1,0,0,0,1
23243,80,210,66,8,16.9,1.6,3.7,0.44,1.4,2.5,0.542,0.2,1.1,0.44,0.7,1.1,0.662,0.9,0.4,0.5,4.2,0.9,2.6,3.6,0.7,0,0,1,0
25257,77,182,41,0,5.3,0.2,1.0,0.214,0.1,0.3,0.273,0.1,0.8,0.214,0.0,0.0,1.0,0.2,0.1,0.1,0.6,0.2,0.2,0.4,0.1,0,0,0,1
20148,77,195,69,0,11.9,0.9,2.8,0.326,0.3,0.6,0.45,0.6,2.2,0.326,0.4,0.6,0.698,0.5,0.5,0.0,2.9,0.4,1.2,1.6,0.4,0,0,0,1
31455,77,205,130,72,20.9,2.6,5.8,0.452,2.5,5.1,0.481,0.2,0.7,0.452,1.0,1.7,0.604,1.7,1.1,0.2,6.4,0.5,1.8,2.3,1.1,0,0,0,1
26689,83,252,99,41,12.7,0.6,1.2,0.471,0.6,1.2,0.471,0.0,0.0,0.471,0.5,0.8,0.62,0.1,0.2,1.0,1.6,1.0,1.7,2.7,0.7,0,1,0,0
16684,78,200,124,74,28.3,3.1,7.2,0.423,1.8,3.9,0.474,1.2,3.3,0.423,1.3,1.8,0.7040000000000001,0.8,0.6,0.2,8.6,1.2,2.5,3.7,1.5,0,0,1,0
19073,82,250,46,6,13.2,1.4,3.5,0.403,1.4,3.4,0.408,0.0,0.0,0.403,0.6,1.0,0.659,0.4,0.2,0.8,3.4,0.8,1.1,1.9,0.7,0,1,0,0
7717,72,175,60,22,21.2,2.6,6.4,0.405,1.6,3.6,0.442,1.0,2.8,0.405,1.1,1.5,0.7390000000000001,1.6,0.8,0.0,7.3,0.4,1.7,2.1,1.6,0,0,0,1
28740,74,190,93,51,23.0,2.2,6.6,0.338,1.0,2.6,0.362,1.3,3.9,0.338,2.4,3.0,0.804,1.6,0.6,0.0,8.1,0.3,1.4,1.7,1.5,0,0,0,1
9577,78,205,66,63,24.4,2.2,4.8,0.451,1.3,2.8,0.478,0.8,2.0,0.451,1.9,2.5,0.75,1.9,1.1,0.4,7.0,1.3,3.1,4.4,1.6,0,0,1,0
10492,71,170,69,17,13.7,0.2,0.7,0.333,0.2,0.5,0.405,0.0,0.2,0.333,0.2,0.3,0.652,1.2,0.2,0.0,0.7,0.1,1.2,1.1,0.8,0,0,0,1
27781,74,175,43,0,4.0,0.3,0.7,0.344,0.1,0.5,0.273,0.1,0.2,0.344,0.3,0.4,0.611,0.2,0.0,0.0,0.9,0.2,0.3,0.5,0.4,0,0,0,1
19304,74,200,104,21,19.5,1.7,4.8,0.344,0.4,1.1,0.36,1.3,3.8,0.344,0.8,1.1,0.6970000000000001,0.9,0.4,0.1,5.4,0.5,2.0,2.5,1.0,0,0,0,1
18490,77,190,72,20,15.7,2.0,4.2,0.483,1.2,2.2,0.5529999999999999,0.8,1.9,0.483,0.5,0.7,0.765,1.0,0.5,0.3,5.3,1.1,1.9,3.0,0.7,0,0,0,1
29386,73,180,63,34,25.7,1.8,5.6,0.32,1.2,3.2,0.377,0.6,2.4,0.32,0.7,1.0,0.7120000000000001,2.3,1.0,0.0,4.9,0.2,1.7,1.8,2.8,0,0,0,1
24955,81,210,30,20,19.3,2.5,5.8,0.4370000000000001,2.1,4.7,0.447,0.4,1.1,0.4370000000000001,0.8,1.3,0.605,0.6,0.5,0.4,6.3,1.4,1.5,3.0,1.8,0,0,1,0
31836,85,280,75,59,20.5,2.3,4.7,0.483,2.3,4.7,0.483,0.0,0.0,0.483,1.3,2.6,0.505,0.5,0.3,0.8,5.8,1.6,2.5,4.1,1.5,0,1,0,0
15884,73,190,10,0,0.7,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.1,0.4,0.25,0.1,0.0,0.0,0.1,0.2,0.3,0.5,0.3,0,0,0,1
11085,76,190,94,22,15.8,1.5,4.0,0.3720000000000001,0.9,2.0,0.443,0.6,2.0,0.3720000000000001,0.8,1.0,0.8,0.8,0.8,0.0,4.4,0.3,1.4,1.6,0.8,0,0,0,1
17104,80,215,115,52,14.0,1.5,2.8,0.5489999999999999,1.5,2.8,0.55,0.0,0.0,0.5489999999999999,0.5,0.9,0.523,0.1,0.2,1.4,3.5,1.5,1.9,3.4,0.5,0,0,1,0
18281,79,210,116,60,16.6,2.8,4.1,0.672,2.8,4.1,0.672,0.0,0.0,0.672,1.0,1.3,0.745,0.6,0.3,0.3,6.5,2.0,2.5,4.4,0.8,0,0,1,0
3178,71,170,65,0,12.5,1.3,3.1,0.408,0.6,1.4,0.422,0.7,1.7,0.408,0.5,0.7,0.625,0.8,0.4,0.0,3.7,0.2,1.3,1.5,0.5,0,0,0,1
11570,81,230,116,41,14.8,1.7,3.1,0.5479999999999999,1.7,3.1,0.5579999999999999,0.0,0.1,0.5479999999999999,0.9,1.5,0.636,0.3,0.2,0.5,4.4,1.3,2.0,3.4,1.0,0,0,1,0
15546,76,180,132,64,27.0,3.4,7.8,0.439,1.6,3.1,0.514,1.8,4.7,0.439,1.3,1.7,0.76,2.5,0.9,0.2,9.9,1.1,2.8,3.9,1.1,0,0,0,1
16345,70,165,34,1,5.4,0.1,0.1,0.667,0.1,0.1,0.667,0.0,0.0,0.667,0.1,0.3,0.3,0.6,0.3,0.0,0.2,0.1,0.4,0.4,0.4,0,0,0,1
19062,79,230,122,71,24.0,4.2,6.9,0.602,4.1,6.5,0.626,0.1,0.4,0.602,2.5,4.3,0.5920000000000001,1.0,0.9,0.5,10.9,2.5,3.8,6.3,1.8,0,0,1,0
24317,80,178,105,71,23.0,3.2,7.1,0.45,2.2,4.2,0.527,1.0,2.8,0.45,1.6,2.2,0.7140000000000001,0.6,0.6,0.6,8.9,1.4,3.4,4.9,0.9,0,0,1,0
22109,68,165,10,0,2.6,0.6,1.1,0.545,0.6,1.0,0.6,0.0,0.1,0.545,0.4,0.7,0.5710000000000001,0.4,0.0,0.0,1.6,0.0,0.3,0.3,0.5,0,0,0,1
14501,78,240,146,74,22.7,3.0,7.1,0.416,1.2,2.3,0.508,1.8,4.8,0.416,1.7,2.1,0.836,1.5,0.7,0.3,9.5,0.5,2.5,3.0,0.9,0,0,1,0
4026,68,170,121,92,22.4,2.2,5.5,0.396,1.1,2.5,0.436,1.1,3.0,0.396,1.0,1.2,0.805,2.2,0.4,0.0,6.5,0.3,1.2,1.5,1.3,0,0,0,1
3306,71,210,95,52,20.6,3.1,7.6,0.406,2.0,4.4,0.443,1.1,3.1,0.406,1.5,2.0,0.753,1.2,1.2,0.1,8.7,0.5,1.4,2.0,1.4,0,0,0,1
20841,80,225,99,42,17.4,1.8,4.0,0.454,1.8,3.9,0.458,0.0,0.0,0.454,1.3,1.9,0.672,0.3,0.3,0.5,4.9,1.7,2.8,4.4,1.4,0,0,1,0
30616,78,220,30,30,30.9,5.3,11.9,0.447,3.2,6.1,0.522,2.1,5.8,0.447,2.3,2.8,0.821,0.8,0.5,0.2,15.1,2.6,5.4,8.0,1.9,0,0,1,0
1694,73,180,22,1,3.7,0.0,0.8,0.059,0.0,0.1,0.0,0.0,0.7,0.059,0.1,0.3,0.5,0.2,0.1,0.1,0.3,0.0,0.2,0.2,0.2,0,0,0,1
22751,81,210,20,2,6.0,0.7,1.3,0.52,0.7,1.3,0.52,0.0,0.0,0.52,0.2,0.7,0.231,0.1,0.2,0.4,1.5,0.6,0.5,1.1,0.4,0,0,1,0
17212,82,218,23,0,2.3,0.3,0.3,0.75,0.3,0.3,0.75,0.0,0.0,0.75,0.0,0.1,0.0,0.1,0.0,0.1,0.5,0.2,0.3,0.4,0.1,0,1,0,0
22548,83,275,85,29,10.8,1.0,1.8,0.578,1.0,1.8,0.578,0.0,0.0,0.578,0.4,0.7,0.5,0.2,0.2,0.2,2.4,0.8,1.6,2.5,0.8,0,1,0,0
13607,78,195,102,66,21.8,2.8,6.6,0.43,2.6,5.6,0.458,0.3,1.0,0.43,1.4,2.6,0.519,1.3,1.2,0.3,7.3,1.8,3.1,5.0,1.8,0,0,0,1
15636,72,173,73,15,19.1,1.5,4.3,0.358,0.6,1.5,0.387,1.0,2.9,0.358,0.7,1.0,0.746,1.5,0.5,0.0,4.8,0.3,1.6,1.9,1.1,0,0,0,1
23803,72,185,107,58,25.7,2.7,6.9,0.386,0.9,2.2,0.41,1.7,4.7,0.386,1.4,1.6,0.9,2.2,0.7,0.0,8.5,0.4,1.6,2.0,1.6,0,0,0,1
7214,74,190,17,2,6.9,0.5,0.9,0.563,0.4,0.6,0.636,0.1,0.3,0.563,0.1,0.4,0.28600000000000003,0.6,0.3,0.0,1.3,0.2,0.3,0.5,0.6,0,0,0,1
13093,78,223,23,0,5.2,0.3,0.7,0.438,0.3,0.7,0.438,0.0,0.0,0.438,0.2,0.3,0.5,0.2,0.1,0.1,0.8,0.5,0.5,1.0,0.4,0,1,0,0
13904,75,177,13,0,8.1,0.6,1.5,0.4,0.5,1.1,0.429,0.2,0.5,0.4,0.1,0.2,0.5,0.7,0.2,0.0,1.5,0.8,0.8,1.7,0.3,0,0,0,1
31106,80,235,116,65,22.5,3.3,7.3,0.452,2.3,4.7,0.495,1.0,2.6,0.452,2.6,3.1,0.8370000000000001,1.2,0.5,0.2,10.2,1.4,3.1,4.5,1.5,0,0,1,0
31480,81,215,65,27,16.4,0.9,2.9,0.314,0.6,1.5,0.375,0.4,1.5,0.314,0.5,0.9,0.536,0.8,0.5,1.2,2.7,0.6,1.9,2.5,0.9,0,0,1,0
17266,75,169,62,30,20.8,2.0,5.1,0.392,1.0,2.4,0.422,1.0,2.7,0.392,0.5,0.7,0.63,1.3,0.7,0.0,5.4,0.4,1.5,1.9,1.0,0,0,0,1
26141,75,180,135,76,26.3,3.9,9.3,0.421,2.4,5.1,0.459,1.6,4.2,0.421,2.3,3.0,0.784,2.5,1.3,0.1,11.7,0.5,2.0,2.5,1.8,0,0,0,1
18975,72,200,53,20,12.2,1.2,4.2,0.28600000000000003,0.7,2.1,0.345,0.5,2.0,0.28600000000000003,0.4,0.7,0.657,0.3,0.2,0.0,3.3,0.3,0.5,0.8,0.8,0,0,0,1
21043,80,220,30,18,11.5,1.1,2.5,0.44,0.9,1.8,0.509,0.2,0.7,0.44,0.3,0.7,0.455,0.5,0.2,0.9,2.7,0.8,1.4,2.3,0.8,0,0,1,0
15875,74,201,61,44,31.3,4.3,9.4,0.459,3.2,6.7,0.485,1.1,2.7,0.459,3.2,4.2,0.763,1.6,1.0,0.1,12.9,0.8,3.0,3.9,1.5,0,0,0,1
19799,72,175,30,15,20.6,1.4,4.1,0.339,1.1,2.9,0.395,0.3,1.3,0.339,1.2,1.5,0.795,2.9,0.9,0.1,4.2,0.3,1.5,1.9,2.7,0,0,0,1
16519,80,215,18,0,4.2,0.2,0.7,0.25,0.2,0.7,0.25,0.0,0.0,0.25,0.2,0.3,0.5,0.1,0.1,0.2,0.5,0.4,0.4,0.8,0.5,0,0,1,0
270,78,235,35,7,7.3,0.5,1.3,0.409,0.5,1.2,0.419,0.0,0.0,0.409,0.3,0.5,0.632,0.2,0.3,0.2,1.4,0.7,0.9,1.6,0.3,0,0,1,0
1835,74,185,83,51,23.5,1.6,3.7,0.429,1.3,2.8,0.446,0.3,0.9,0.429,0.3,1.0,0.338,2.5,0.7,0.1,3.9,0.5,2.1,2.6,1.6,0,0,0,1
21571,77,205,105,79,28.0,3.5,7.6,0.456,2.6,5.2,0.493,0.9,2.4,0.456,2.3,3.4,0.693,1.5,0.7,0.2,10.2,0.9,3.1,4.0,1.5,0,0,0,1
30378,70,175,56,47,29.7,3.1,8.2,0.383,1.2,3.1,0.386,2.0,5.2,0.383,2.7,3.2,0.828,2.6,1.0,0.1,10.9,0.4,2.0,2.4,2.4,0,0,0,1
1322,73,170,18,0,2.4,0.1,0.6,0.2,0.1,0.3,0.2,0.1,0.3,0.2,0.2,0.2,1.0,0.1,0.2,0.1,0.5,0.1,0.1,0.2,0.2,0,0,0,1
24694,78,215,54,51,26.0,2.7,7.0,0.385,2.5,6.2,0.407,0.2,0.8,0.385,3.0,3.7,0.8140000000000001,1.5,0.8,0.4,8.6,1.1,3.2,4.3,2.1,0,0,1,0
14235,68,150,134,51,22.0,1.8,4.1,0.428,0.9,2.0,0.452,0.9,2.1,0.428,1.1,1.5,0.691,3.4,0.9,0.1,5.5,0.2,1.7,2.0,1.3,0,0,0,1
31720,81,240,150,107,24.3,3.6,6.2,0.5770000000000001,3.6,6.2,0.5770000000000001,0.0,0.0,0.5770000000000001,1.6,2.8,0.569,0.8,0.7,1.1,8.7,2.3,3.4,5.7,1.2,0,1,0,0
30381,80,235,95,75,18.4,2.4,3.7,0.643,2.4,3.7,0.645,0.0,0.0,0.643,0.9,1.5,0.63,0.6,0.4,0.2,5.7,1.9,1.7,3.6,0.9,0,1,0,0
10724,81,255,34,4,7.0,0.9,2.1,0.423,0.9,2.1,0.423,0.0,0.0,0.423,0.5,0.9,0.5670000000000001,0.1,0.2,0.3,2.3,0.7,1.1,1.7,1.1,0,0,1,0
28229,78,200,57,48,28.9,3.8,7.0,0.545,3.8,6.9,0.5489999999999999,0.0,0.1,0.545,1.7,2.6,0.64,1.1,1.6,1.2,9.3,2.8,3.8,6.6,1.6,0,0,1,0
21787,81,240,35,0,5.7,0.7,1.4,0.52,0.7,1.4,0.52,0.0,0.0,0.52,0.3,0.5,0.474,0.1,0.2,0.1,1.7,0.4,0.5,0.9,0.4,0,0,1,0
28690,75,175,92,27,18.4,2.7,6.9,0.388,0.8,2.0,0.415,1.8,4.9,0.388,1.2,1.5,0.816,0.9,0.5,0.1,8.4,0.4,1.3,1.7,0.4,0,0,0,1
15840,81,220,60,1,7.9,0.8,1.8,0.458,0.7,1.3,0.506,0.2,0.5,0.458,0.5,0.7,0.659,0.5,0.2,0.1,2.3,0.3,1.2,1.5,0.5,0,0,1,0
29701,80,225,45,24,18.8,2.9,4.9,0.588,2.9,4.9,0.591,0.0,0.0,0.588,1.0,1.9,0.547,0.3,0.4,0.8,6.8,1.1,1.7,2.7,1.2,0,1,0,0
15846,83,200,26,1,4.4,0.5,1.0,0.481,0.3,0.7,0.529,0.2,0.4,0.481,0.3,0.5,0.5710000000000001,0.1,0.1,0.1,1.5,0.2,0.3,0.5,0.1,0,1,0,0
16448,77,210,89,14,10.5,0.7,1.8,0.396,0.5,0.9,0.524,0.2,0.8,0.396,0.3,0.5,0.617,0.6,0.2,0.2,2.0,0.7,1.3,2.1,0.4,0,0,1,0
14397,82,239,62,54,19.4,2.2,5.5,0.395,2.1,5.4,0.398,0.0,0.1,0.395,1.1,2.7,0.423,0.5,0.3,1.3,5.5,1.5,2.5,4.0,1.4,0,0,1,0
13503,78,210,80,66,29.7,4.5,9.8,0.457,4.0,8.3,0.477,0.5,1.6,0.457,3.1,4.2,0.723,1.8,0.7,0.4,12.6,1.3,4.6,5.9,1.8,0,0,1,0
11718,74,180,126,69,24.7,3.3,7.8,0.43,1.8,3.7,0.49,1.5,4.1,0.43,2.3,2.8,0.8270000000000001,1.8,1.3,0.1,10.5,0.6,2.0,2.6,1.4,0,0,0,1
4282,76,190,6,1,1.2,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
30966,79,240,126,64,20.5,2.4,4.5,0.542,2.3,4.3,0.544,0.1,0.2,0.542,1.6,2.5,0.624,0.7,0.3,1.3,6.5,1.5,4.3,5.7,1.2,0,0,1,0
22207,74,200,62,48,25.0,3.3,8.0,0.413,1.7,3.5,0.486,1.6,4.5,0.413,0.9,1.3,0.716,1.1,0.9,0.2,9.1,1.0,2.1,3.1,1.2,0,0,0,1
26066,84,280,72,18,12.2,1.1,2.5,0.458,1.1,2.5,0.458,0.0,0.0,0.458,0.4,1.0,0.387,0.3,0.1,1.3,2.7,1.0,1.6,2.7,1.2,0,1,0,0
3655,81,190,47,6,11.8,1.2,2.8,0.42,0.9,1.8,0.5,0.3,1.0,0.42,0.9,1.3,0.6779999999999999,0.3,0.2,0.3,3.5,0.6,0.6,1.2,0.8,0,0,1,0
28300,76,190,59,33,19.8,2.8,6.8,0.41,1.0,2.1,0.472,1.8,4.7,0.41,1.3,1.7,0.728,0.7,0.6,0.3,8.6,0.8,1.3,2.0,1.2,0,0,0,1
13045,76,200,61,31,23.4,3.7,7.5,0.495,3.4,6.4,0.527,0.3,1.1,0.495,1.8,3.0,0.612,1.7,1.0,0.7,9.6,1.3,2.6,3.9,1.4,0,0,0,1
14974,78,228,129,95,24.5,2.7,6.1,0.436,2.7,6.1,0.4370000000000001,0.0,0.0,0.436,1.5,3.3,0.451,1.7,1.1,0.5,6.8,2.7,5.1,7.8,1.7,0,0,0,1
28696,72,187,132,70,23.7,2.6,6.6,0.391,1.3,3.1,0.414,1.3,3.5,0.391,0.8,1.1,0.736,3.4,1.2,0.1,7.2,0.4,2.0,2.4,1.8,0,0,0,1
30340,76,188,83,45,18.2,1.9,4.4,0.436,1.4,2.9,0.496,0.5,1.4,0.436,0.4,0.8,0.5870000000000001,0.9,0.6,0.1,4.7,0.6,1.6,2.1,1.0,0,0,0,1
15241,74,200,40,35,30.8,3.6,10.9,0.332,1.7,4.6,0.359,2.0,6.3,0.332,3.3,3.8,0.8740000000000001,2.2,1.0,0.1,12.5,0.6,1.8,2.4,1.8,0,0,0,1
30721,76,175,33,3,15.3,1.3,3.4,0.375,1.2,2.7,0.443,0.1,0.7,0.375,1.4,2.1,0.6759999999999999,1.1,0.3,0.2,4.0,0.8,1.2,1.9,0.8,0,0,0,1
8357,79,230,59,24,13.8,1.8,3.7,0.486,1.8,3.7,0.486,0.0,0.0,0.486,0.7,1.6,0.433,0.2,0.4,0.4,4.3,1.2,1.8,3.0,0.7,0,0,1,0
15523,80,240,129,40,18.2,1.5,2.9,0.52,1.3,2.1,0.635,0.2,0.9,0.52,0.6,1.0,0.611,0.3,0.3,0.9,3.9,1.3,1.9,3.2,0.3,0,0,1,0
31766,80,230,101,18,9.9,1.0,2.2,0.444,1.0,2.1,0.449,0.0,0.1,0.444,0.5,0.9,0.575,0.2,0.2,0.1,2.5,0.7,1.3,2.0,0.7,0,0,1,0
17491,79,200,51,0,4.6,0.5,1.1,0.474,0.5,0.9,0.5,0.1,0.2,0.474,0.3,0.4,0.7140000000000001,0.2,0.1,0.1,1.4,0.4,0.6,1.0,0.2,0,0,1,0
12433,72,170,50,2,9.1,0.5,1.8,0.256,0.2,0.6,0.267,0.3,1.2,0.256,0.4,0.7,0.636,0.4,0.2,0.0,1.6,0.1,0.4,0.5,0.4,0,0,0,1
29601,83,215,71,21,9.5,0.5,1.3,0.409,0.5,1.3,0.413,0.0,0.0,0.409,0.3,0.6,0.512,0.3,0.2,0.2,1.4,0.7,1.1,1.8,0.5,0,1,0,0
14746,79,220,85,23,5.9,0.4,1.0,0.447,0.4,1.0,0.452,0.0,0.0,0.447,0.2,0.2,0.765,0.1,0.2,0.1,1.0,0.4,0.7,1.1,0.2,0,0,1,0
23085,74,202,21,6,7.4,0.3,0.8,0.375,0.3,0.6,0.462,0.0,0.1,0.375,0.2,0.5,0.5,0.1,0.5,0.0,0.8,0.3,0.4,0.8,0.3,0,0,0,1
24634,73,180,60,59,30.4,2.3,5.7,0.409,2.1,4.8,0.433,0.2,0.9,0.409,1.9,3.0,0.637,4.3,1.7,0.2,6.8,0.5,2.8,3.2,2.8,0,0,0,1
15494,84,230,94,35,11.8,1.8,3.3,0.545,1.7,3.1,0.5579999999999999,0.1,0.2,0.545,1.2,1.5,0.7929999999999999,0.1,0.3,0.8,4.9,0.9,2.2,3.1,0.9,0,1,0,0
15680,74,190,15,2,9.9,0.5,1.9,0.276,0.4,1.0,0.4,0.1,0.9,0.276,0.0,0.1,0.0,0.7,0.6,0.1,1.2,0.2,0.5,0.7,0.7,0,0,0,1
31674,78,200,57,20,24.4,3.3,5.2,0.642,3.1,4.8,0.645,0.2,0.4,0.642,1.1,1.4,0.7440000000000001,0.5,0.8,0.4,7.9,2.4,3.2,5.6,0.8,0,0,1,0
1309,75,185,34,17,22.1,2.3,5.9,0.386,0.5,1.3,0.395,1.8,4.7,0.386,0.9,1.3,0.727,0.5,0.6,0.1,7.3,0.4,2.0,2.4,0.8,0,0,0,1
29807,69,165,65,7,16.9,1.2,3.4,0.35700000000000004,0.7,1.6,0.41,0.6,1.8,0.35700000000000004,0.8,1.1,0.703,2.3,0.4,0.0,3.8,0.2,1.3,1.5,1.2,0,0,0,1
17451,77,180,37,5,7.2,0.5,1.0,0.528,0.3,0.5,0.5,0.2,0.4,0.528,0.1,0.2,0.556,0.8,0.2,0.1,1.4,0.6,0.7,1.2,0.5,0,0,0,1
19484,75,210,122,70,24.3,2.7,6.7,0.398,1.6,4.0,0.408,1.0,2.7,0.398,1.5,2.0,0.745,1.9,1.2,0.1,7.9,1.0,2.5,3.5,1.6,0,0,0,1
323,81,220,87,37,11.9,1.4,2.7,0.513,1.4,2.7,0.515,0.0,0.0,0.513,0.5,1.0,0.529,0.4,0.2,0.4,3.3,1.1,1.6,2.8,0.4,0,0,1,0
5794,83,230,119,44,20.0,2.0,4.8,0.422,0.6,1.4,0.396,1.5,3.4,0.422,0.6,0.7,0.8270000000000001,0.9,0.4,0.3,6.1,0.9,2.1,3.1,0.9,0,0,1,0
28100,73,188,23,0,3.5,0.3,0.6,0.462,0.3,0.4,0.6,0.0,0.1,0.462,0.0,0.1,0.0,0.2,0.1,0.0,0.5,0.1,0.3,0.4,0.3,0,0,0,1
17077,77,205,52,41,25.3,3.2,8.6,0.368,1.6,3.8,0.407,1.6,4.8,0.368,2.5,3.1,0.785,1.3,0.9,0.2,10.4,0.5,1.5,1.9,2.6,0,0,1,0
22728,80,215,29,1,8.9,0.8,1.9,0.411,0.8,1.8,0.434,0.0,0.1,0.411,0.2,0.3,0.75,0.2,0.2,0.1,1.8,0.4,0.8,1.2,0.8,0,0,1,0
30474,80,215,66,65,30.8,5.5,12.6,0.436,3.6,7.1,0.509,1.9,5.5,0.436,2.6,3.9,0.664,1.7,0.7,0.5,15.5,1.2,3.6,4.8,1.6,0,0,0,1
28915,75,180,29,21,25.1,4.0,8.4,0.473,2.1,4.0,0.522,1.9,4.4,0.473,3.7,4.9,0.746,1.5,1.0,0.2,13.5,0.6,2.6,3.2,2.2,0,0,0,1
7150,79,210,48,7,10.5,1.3,2.6,0.5,1.3,2.6,0.5,0.0,0.0,0.5,0.6,1.1,0.5579999999999999,0.1,0.3,0.2,3.2,1.1,1.1,2.2,0.5,0,0,1,0
6547,82,240,32,0,7.3,0.4,0.9,0.483,0.4,0.9,0.5,0.0,0.0,0.483,0.2,0.4,0.462,0.1,0.0,0.1,1.1,0.6,0.4,1.0,0.3,0,1,0,0
21534,80,255,28,13,17.4,1.6,3.7,0.442,1.6,3.7,0.447,0.0,0.0,0.442,0.7,1.9,0.377,0.5,0.3,0.4,4.0,1.8,3.0,4.8,1.3,0,1,0,0
26339,76,214,90,35,19.8,1.6,3.3,0.48,1.3,2.4,0.532,0.3,0.9,0.48,0.6,1.1,0.535,1.0,0.4,0.3,4.0,1.2,1.9,3.1,1.2,0,0,0,1
23068,78,200,30,0,2.7,0.2,0.8,0.304,0.1,0.6,0.235,0.1,0.2,0.304,0.3,0.3,0.8,0.1,0.0,0.0,0.8,0.3,0.2,0.4,0.4,0,0,1,0
7689,80,220,129,92,21.5,3.3,7.7,0.4270000000000001,1.7,3.2,0.511,1.6,4.5,0.4270000000000001,0.8,1.1,0.746,1.6,0.5,0.2,9.0,1.1,2.8,3.9,1.2,0,0,1,0
4594,75,168,25,2,12.2,1.2,3.0,0.392,1.0,2.0,0.49,0.2,0.9,0.392,1.0,1.6,0.625,1.0,0.6,0.2,3.5,0.2,1.3,1.6,1.6,0,0,0,1
21517,78,198,120,54,19.9,2.9,7.6,0.384,1.2,2.6,0.453,1.7,4.9,0.384,1.6,1.9,0.807,0.9,0.6,0.2,9.1,0.7,2.1,2.8,1.1,0,0,0,1
28324,75,195,93,48,23.4,2.4,6.3,0.383,1.8,4.5,0.412,0.6,1.8,0.383,1.1,1.5,0.71,2.8,0.9,0.2,6.4,0.3,1.8,2.0,1.7,0,0,0,1
31483,71,180,83,39,20.3,1.7,4.5,0.382,1.0,2.3,0.451,0.7,2.2,0.382,1.1,1.7,0.679,2.1,1.0,0.1,5.3,0.2,1.6,1.8,1.5,0,0,0,1
18812,76,190,26,17,23.7,3.7,9.1,0.411,1.8,3.8,0.46,2.0,5.2,0.411,1.3,1.5,0.872,1.0,0.7,0.1,10.7,0.2,1.9,2.1,1.2,0,0,0,1
27363,74,170,16,0,3.4,0.5,0.8,0.615,0.3,0.4,0.5710000000000001,0.3,0.4,0.615,0.4,0.4,1.0,0.4,0.3,0.0,1.6,0.0,0.3,0.3,0.4,0,0,0,1
6968,69,155,55,52,35.0,4.7,11.2,0.422,2.7,5.6,0.474,2.1,5.6,0.422,3.4,3.9,0.853,4.4,1.9,0.0,14.9,0.5,2.7,3.2,2.7,0,0,0,1
15075,74,170,22,0,8.2,0.7,1.9,0.39,0.3,1.0,0.333,0.4,0.9,0.39,0.5,0.7,0.733,0.4,0.5,0.0,2.4,0.3,0.8,1.0,0.8,0,0,0,1
5817,72,180,58,28,22.9,1.3,3.5,0.363,0.8,2.0,0.397,0.5,1.5,0.363,2.3,3.1,0.74,2.3,0.7,0.0,5.3,0.3,1.1,1.5,1.5,0,0,0,1
22971,79,210,28,4,9.9,1.4,2.4,0.5670000000000001,1.4,2.4,0.5670000000000001,0.0,0.0,0.5670000000000001,0.3,1.1,0.29,0.3,0.4,0.3,3.0,1.1,1.4,2.5,0.6,0,0,1,0
13649,77,206,31,8,13.5,0.8,2.1,0.406,0.7,1.6,0.429,0.2,0.5,0.406,1.2,1.8,0.691,1.5,0.6,0.1,3.1,0.8,1.9,2.7,1.2,0,0,0,1
3084,74,155,65,12,14.9,1.6,4.8,0.326,0.8,2.1,0.381,0.8,2.7,0.326,0.6,1.1,0.514,1.4,0.5,0.0,4.5,0.1,1.3,1.4,1.2,0,0,0,1
