,name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers
20464,Rafiki Muhamad,6-6,190,Forward,4,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5
20465,Fard Muhammad,6-0,180,Guard,58,12,17.5,2.4,5.9,.409,0.7,1.6,.426,1.7,4.3,.409,0.5,0.7,.750,0.7,0.5,0.1,7.1,0.4,1.6,1.9,0.7
20466,Ibn Muhammad,5-9,155,Guard,68,30,22.1,1.2,2.8,.427,0.5,1.0,.492,0.7,1.9,.427,0.4,0.6,.659,2.2,0.7,0.0,3.6,0.2,1.4,1.6,0.9
20467,Isma'Il Muhammad,6-6,228,Forward,126,34,19.9,3.1,6.3,.487,3.0,6.0,.501,0.1,0.3,.487,1.5,3.1,.492,1.4,1.0,0.3,7.8,1.7,2.6,4.2,1.8
20468,Jihad Muhammad,5-11,175,Guard,66,37,26.3,3.7,9.7,.379,1.7,4.1,.424,1.9,5.6,.379,1.3,1.7,.782,2.4,0.9,0.2,10.6,0.8,2.1,2.9,2.0
20469,Labeeh Muhammad,5-9,150,Guard,42,5,15.9,0.8,2.7,.287,0.6,1.6,.348,0.2,1.1,.287,0.4,0.7,.484,1.2,0.5,0.0,2.1,0.3,0.7,1.0,1.5
20470,Luther Muhammad,6-3,185,Guard,34,28,26.6,2.4,6.5,.374,1.4,3.7,.373,1.1,2.8,.374,1.6,2.2,.757,1.7,0.9,0.1,7.6,0.5,2.2,2.7,1.4
20471,Rahjan Muhammad,6-0,190,Guard,23,9,15.2,1.6,4.1,.379,0.9,1.9,.465,0.7,2.3,.379,0.7,1.0,.773,0.6,0.9,0.0,4.6,0.4,1.3,1.8,0.9
20472,Rashad Muhammad,6-6,170,Guard,58,25,30.1,4.1,11.1,.373,1.8,5.0,.366,2.3,6.1,.373,2.9,3.6,.805,0.9,0.6,0.1,13.5,0.6,2.4,3.1,1.6
20473,Saadiq Muhammad,6-7,210,Forward,62,30,18.2,1.9,4.0,.478,1.9,4.0,.482,0.0,0.0,.478,1.1,2.2,.507,0.2,0.5,0.5,4.9,1.2,2.2,3.4,1.1
20474,Shabazz Muhammad,6-6,225,Guard,32,30,30.8,6.3,14.3,.443,5.1,10.9,.463,1.3,3.3,.443,4.0,5.6,.711,0.8,0.7,0.1,17.9,2.7,2.5,5.2,1.6
20475,Sultan Muhammad,6-1,194,Guard,34,24,23.5,1.9,4.6,.401,0.6,1.1,.487,1.3,3.5,.401,0.8,1.0,.794,1.3,0.5,0.1,5.8,0.4,2.0,2.3,1.1
20476,Taariq Muhammad,6-2,170,Guard,18,0,11.6,0.4,1.4,.280,0.4,1.0,.389,0.0,0.4,.280,0.1,0.3,.333,1.8,0.8,0.1,0.9,0.2,1.1,1.3,1.6
20477,Taqqi Muhammad,6-4,193,Guard,7,0,3.7,0.3,0.7,.400,0.3,0.4,.667,0.0,0.3,.400,0.4,0.6,.750,0.3,0.1,0.0,1.0,0.1,0.4,0.6,0.4
20478,Mubarak Muhammed,6-7,220,Forward,33,1,18.5,2.4,4.9,.488,2.1,4.1,.507,0.3,0.8,.488,0.6,1.3,.432,0.4,0.6,0.7,5.7,2.3,3.0,5.2,1.0
20479,Beau Muhlbach,6-5,205,Guard,59,0,4.9,0.5,1.2,.441,0.4,0.9,.490,0.1,0.3,.441,0.5,0.7,.690,0.2,0.3,0.1,1.6,0.2,0.7,0.9,0.4
20480,Jake Muhleisen,6-4,200,Guard,100,98,28.8,3.2,7.5,.425,2.2,4.4,.514,1.0,3.2,.425,1.8,2.4,.739,2.8,1.0,0.3,9.1,0.8,2.6,3.4,1.7
20481,Corey Muirhead,6-6,185,Forward,109,64,24.4,3.5,7.3,.479,3.1,6.2,.499,0.4,1.1,.479,2.0,3.0,.672,1.5,1.1,0.2,9.4,1.6,3.0,4.6,2.4
20482,Scott Muirhead,6-3,206,Guard-Forward,40,0,2.2,0.4,1.3,.294,0.0,0.1,.250,0.4,1.2,.294,0.0,0.0,,0.1,0.0,0.0,1.1,0.1,0.2,0.2,0.1
20483,Kandi Mukole,6-8,215,Forward,124,39,17.1,1.6,3.9,.406,1.2,2.6,.462,0.4,1.3,.406,1.0,1.9,.509,0.5,0.3,0.6,4.5,1.0,2.4,3.4,1.4
20484,Wen Mukubu,6-6,205,Guard,107,50,19.4,2.6,6.0,.429,1.8,3.9,.464,0.7,2.0,.429,1.7,2.7,.620,1.2,1.0,0.2,7.5,0.9,2.4,3.3,1.7
20485,Mychal Mulder,6-4,185,Guard,56,2,7.6,1.0,2.7,.376,0.3,0.7,.463,0.7,1.9,.376,0.3,0.3,.933,0.4,0.2,0.1,2.9,0.4,0.9,1.3,0.2
20486,Patrick Muldoon,6-7,210,Forward,67,20,16.1,1.9,3.9,.471,1.9,3.9,.477,0.0,0.0,.471,0.7,1.1,.597,0.7,0.4,0.3,4.4,1.1,2.1,3.3,1.0
20487,Kevin Muldowney,5-10,160,Guard,3,0,2.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
20488,Elijah Muldrow,6-4,172,Guard,57,29,19.4,2.4,6.3,.388,1.6,3.5,.445,0.9,2.8,.388,0.9,1.3,.703,1.5,0.7,0.5,6.7,0.2,1.0,1.3,1.1
